 Libcell,Min_delay,Avg_delay,Max_delay
 SDFFRPQH_X1N_A9PP84TR_C16 ,0.074,0.07433333333333332,0.075
 INV_X6N_A9PP84TSL_C16 ,0.005,0.007,0.008
 XNOR2_X1N_A9PP84TL_C14 ,0.026,0.026,0.026
 NAND2B_X2N_A9PP84TSL_C14 ,0.020,0.02125,0.022
 BUF_X20N_A9PP84TSL_C14 ,0.013,0.016111111111111118,0.018
 AOI22_X4R_A9PP84TR_C14 ,0.014,0.0155,0.017
 NAND2_X1F_A9PP84TR_C16 ,0.008,0.03870212765957447,0.079
 NOR2_X1F_A9PP84TSL_C14 ,0.006,0.011142857142857144,0.025
 NOR2B_X1N_A9PP84TSL_C14 ,0.017,0.020432835820895532,0.034
 SDFFRPQH_X1N_A9PP84TL_C16 ,0.040,0.04,0.040
 XNOR2_X1N_A9PP84TR_C16 ,0.006,0.01720634920634921,0.041
 BUF_X28N_A9PP84TSL_C14 ,0.014,0.016219512195121973,0.020
 BUF_X2N_A9PP84TR_C14 ,0.018,0.018,0.018
 INV_X1P5N_A9PP84TSL_C16 ,0.010,0.01,0.010
 MX2_X6N_A9PP84TR_C14 ,0.015,0.018266666666666664,0.020
 INVP_X1N_A9PP84TR_C14 ,0.014,0.024130434782608706,0.064
 XNOR2_X1N_A9PP84TL_C16 ,0.022,0.024,0.026
 BUFH_X6N_A9PP84TSL_C14 ,0.012,0.014433975240715446,0.021
 NOR2B_X1N_A9PP84TSL_C16 ,0.031,0.031,0.031
 AOI211_X1P5N_A9PP84TL_C14 ,0.019,0.019,0.019
 MX2_X6N_A9PP84TL_C14 ,0.013,0.013,0.013
 INVP_X1N_A9PP84TL_C14 ,0.022,0.02446913580246911,0.048
 BUF_X2N_A9PP84TR_C16 ,0.012,0.024666666666666667,0.050
 INV_X2F_A9PP84TSL_C14 ,0.005,0.025303738317757004,0.049
 NAND4_X1P5R_A9PP84TSL_C14 ,0.010,0.015947368421052634,0.024
 OAI211_X3N_A9PP84TSL_C14 ,0.017,0.017,0.017
 INVP_X1N_A9PP84TR_C16 ,0.014,0.03366666666666668,0.075
 NOR3_X3N_A9PP84TSL_C14 ,0.010,0.01,0.010
 BUF_X8N_A9PP84TSL_C14 ,0.019,0.018999999999999996,0.019
 BUF_X2N_A9PP84TL_C16 ,0.067,0.067,0.067
 NOR2_X1TN_A9PP84TSL_C14 ,0.008,0.0085,0.009
